Report ID:,xxxxxxxxxxxxxxxxxxxxxxxxxxxx,,,,,,
Run at:,Time,,,,,,
Start date:,Time,,,,,,
End date:,Time,,,,,,
Timezone:,Europe/London,,,,,,
User:,Eeshan Chatterjee,,,,,,
,,,,,,,
hour,insertion_order,line_item,campaign,imps,clicks,total_convs,media_cost
3/1/2015 10:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - Less than 6 mins - Manual CPM (5632905),14,0,0,0.079258
3/1/2015 10:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - 6 mins to 1 hour - Manual CPM (5632909),29,0,0,0.225142
3/1/2015 10:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - 1 hours to 1 day - Manual CPM (5632912),24,0,0,0.08843
3/1/2015 10:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - More than 1 day - Manual CPM (5632914),52,0,0,0.126303
3/1/2015 10:00,MyAdv FBX-  Prospecting (77286),MyAdv FBX-  Prospecting - Reach (674578),MyAdv FBX-  Prospecting - Reach - AS - Manual CPM (2128479),3931,2,0,1.649045
3/1/2015 10:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - 1hr - Manual CPM (2128320),37,0,0,0.05267
3/1/2015 10:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - 1hr - 12hrs - Manual CPM (2128327),17,0,0,0.024806
3/1/2015 10:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - 1d - 3d - Manual CPM (2128345),93,1,0,0.142592
3/1/2015 10:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - 3d - 10d - Manual CPM (2128353),120,0,0,0.113681
3/1/2015 10:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - No Recency - Manual CPM (2128372),718,0,0,0.479694
3/1/2015 11:00,MyAdv- Prospecting (46552),MyAdv-  Prospecting - Context - PMP (1269940),MyAdv - Context - PD - Zoopla.co.uk - PMP - Manual CPM (4676593),30,0,0,0.122922
3/1/2015 11:00,MyAdv- Prospecting (46552),MyAdv-  Prospecting - Reach (447387),MyAdv-  Prospecting - Reach - AS - Broad Reach - Optimised CPA (1410031),604,0,0,0.183864
3/1/2015 11:00,MyAdv- Prospecting (46552),MyAdv-  Prospecting - Context (447396),MyAdv-  Prospecting - Context - AS - BYOA - Generic Search Terms v2 {2432247} - (AdAgency) - Optimised CPA (6747927),66,0,0,0.342586
3/1/2015 11:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - No Recency - Manual CPM (1463594),776,0,0,1.054484
3/1/2015 11:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - High Recency - Less than 1 day - 1 per day - Manual CPM (1463621),38,0,0,0.264375
3/1/2015 11:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - Unreached Users - Manual CPM (5331211),181,0,0,0.353733
3/1/2015 11:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - Less than 6 mins - Manual CPM (5632905),9,0,0,0.21789
3/1/2015 11:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - 6 mins to 1 hour - Manual CPM (5632909),43,0,0,0.323203
3/1/2015 11:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - 1 hours to 1 day - Manual CPM (5632912),35,0,0,0.114478
3/1/2015 11:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - More than 1 day - Manual CPM (5632914),64,0,0,0.160944
3/1/2015 11:00,MyAdv FBX-  Prospecting (77286),MyAdv FBX-  Prospecting - Reach (674578),MyAdv FBX-  Prospecting - Reach - AS - Manual CPM (2128479),8060,6,1,3.189635
3/1/2015 11:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - 1hr - Manual CPM (2128320),26,0,0,0.130726
3/1/2015 11:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - 1hr - 12hrs - Manual CPM (2128327),31,0,0,0.078705
3/1/2015 11:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - 1d - 3d - Manual CPM (2128345),112,0,0,0.169115
3/1/2015 11:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - 3d - 10d - Manual CPM (2128353),74,0,0,0.071546
3/1/2015 11:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - No Recency - Manual CPM (2128372),472,1,0,0.30392
3/1/2015 12:00,MyAdv- Prospecting (46552),MyAdv-  Prospecting - Context - PMP (1269940),MyAdv - Context - PD - Zoopla.co.uk - PMP - Manual CPM (4676593),95,0,0,0.389253
3/1/2015 12:00,MyAdv- Prospecting (46552),MyAdv-  Prospecting - Reach (447387),MyAdv-  Prospecting - Reach - AS - Broad Reach - Optimised CPA (1410031),1898,1,0,0.632094
3/1/2015 12:00,MyAdv- Prospecting (46552),MyAdv-  Prospecting - Context (447396),MyAdv-  Prospecting - Context - AS - BYOA - Generic Search Terms v2 {2432247} - (AdAgency) - Optimised CPA (6747927),71,0,0,0.436746
3/1/2015 12:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - No Recency - Manual CPM (1463594),832,1,0,1.114316
3/1/2015 12:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - High Recency - Less than 1 day - 1 per day - Manual CPM (1463621),16,0,0,0.118587
3/1/2015 12:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - Unreached Users - Manual CPM (5331211),181,0,0,0.341007
3/1/2015 12:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - Less than 6 mins - Manual CPM (5632905),18,0,0,0.105516
3/1/2015 12:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - 6 mins to 1 hour - Manual CPM (5632909),12,0,0,0.088825
3/1/2015 12:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - 1 hours to 1 day - Manual CPM (5632912),31,0,0,0.106149
3/1/2015 12:00,MyAdv- Retargeting (48639),MyAdv-  Retargeting (460834),MyAdv-  Retargeting - AS - Homepage - More than 1 day - Manual CPM (5632914),60,0,0,0.148863
3/1/2015 12:00,MyAdv FBX-  Prospecting (77286),MyAdv FBX-  Prospecting - Reach (674578),MyAdv FBX-  Prospecting - Reach - AS - Manual CPM (2128479),21044,8,0,8.502942
3/1/2015 12:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - 1hr - Manual CPM (2128320),30,0,0,0.051081
3/1/2015 12:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - 1hr - 12hrs - Manual CPM (2128327),52,0,0,0.065989
3/1/2015 12:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - 1d - 3d - Manual CPM (2128345),73,0,0,0.103534
3/1/2015 12:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - 3d - 10d - Manual CPM (2128353),105,0,0,0.124923
3/1/2015 12:00,MyAdv- Retargeting (77287),MyAdv FBX-  Retargeting (674512),MyAdv FBX-  Retargeting - AS - Homepage - No Recency - Manual CPM (2128372),397,0,0,0.245876
3/1/2015 13:00,MyAdv- Prospecting (46552),MyAdv-  Prospecting - Context - PMP (1269940),MyAdv - Context - PD - Zoopla.co.uk - PMP - Manual CPM (4676593),34,0,0,0.139312
3/1/2015 13:00,MyAdv- Prospecting (46552),MyAdv-  Prospecting - Reach (447387),MyAdv-  Prospecting - Reach - AS - Broad Reach - Optimised CPA (1410031),2476,0,0,0.871675
